SMPLDATETIME,STNCODE,USRCODES,Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,pH,Turb,WQI,WQI_Class
2004-01-01 00:00:00,deldswq,00:00:00,5.2,0.13,0.1,101.9,12.9,0.45,6.6,0.012,12.639779152931043,Excellent
2004-01-01 00:30:00,deldswq,00:30:00,5.2,0.12,0.1,101.8,12.9,0.45,6.6,0.013,12.636898979405423,Excellent
2004-01-01 01:00:00,deldswq,01:00:00,5.2,0.12,0.1,101.8,12.9,0.45,6.6,0.012,12.631158564350903,Excellent
2004-01-01 01:30:00,deldswq,01:30:00,5.1,0.13,0.1,101.8,13.0,0.46,6.6,0.013,12.349210736556813,Excellent
2004-01-01 02:00:00,deldswq,02:00:00,5.1,0.13,0.1,101.8,13.0,0.46,6.6,0.012,12.343470321502293,Excellent
2004-01-01 02:30:00,deldswq,02:30:00,5.0,0.13,0.1,101.9,13.0,0.47,6.6,0.013,12.335507488813818,Excellent
2004-01-01 03:00:00,deldswq,03:00:00,5.0,0.13,0.1,101.9,13.0,0.47,6.6,0.012,12.329767073759298,Excellent
2004-01-01 03:30:00,deldswq,03:30:00,5.0,0.13,0.1,101.8,13.0,0.47,6.6,0.012,12.327524724128626,Excellent
2004-01-01 04:00:00,deldswq,04:00:00,5.0,0.13,0.1,101.9,13.0,0.48,6.6,0.012,12.329767073759298,Excellent
2004-01-01 04:30:00,deldswq,04:30:00,5.0,0.13,0.1,101.7,13.0,0.48,6.6,0.012,12.325282374497954,Excellent
2004-01-01 05:00:00,deldswq,05:00:00,5.0,0.12,0.1,101.7,13.0,0.48,6.6,0.012,12.318904135548486,Excellent
2004-01-01 05:30:00,deldswq,05:30:00,5.0,0.13,0.1,101.9,13.0,0.48,6.6,0.012,12.329767073759298,Excellent
2004-01-01 06:00:00,deldswq,06:00:00,5.0,0.13,0.1,101.8,13.0,0.49,6.6,0.012,12.327524724128626,Excellent
2004-01-01 06:30:00,deldswq,06:30:00,5.0,0.12,0.1,101.8,13.0,0.49,6.6,0.012,12.32114648517916,Excellent
2004-01-01 07:00:00,deldswq,07:00:00,4.9,0.12,0.1,101.8,13.0,0.49,6.6,0.012,12.305200887805494,Excellent
2004-01-01 07:30:00,deldswq,07:30:00,4.9,0.12,0.1,101.8,13.0,0.5,6.6,0.012,12.305200887805494,Excellent
